TABLE 1 — MISSING PRICE (29 products)
Name;Price (EUR)
DR.SLIM 90cps;
ELIXY DNEVNA & HYALURONIC +35  50 ml;
ELIXY DNEVNA & HYALURONIC +45  50 ml;
ELIXY DNEVNA & HYALURONIC +55  50 ml;
ELIXY-Шампон Алое вера 500 мл.;
Jade Roler;
MAGNESIUM CITRAT 325mg;
NUTRI SHAKE- strawberry 500 g;
NUTRI SHAKE-chocolate 500 g;
Prosta Flow 30 капсули;
SLIM Complex;
SLIM Fiber;
Slimrush 30 капсули;
TURMERIC BOOST - Куркума буст - 500мл.;
Vitamin B6;
Vitamin C complex;
Vitamin D3;
Whey Protein 1.5 kg с вкус на ванилия;
Whey Protein 1.5 kg с вкус на шоколад;
Zinc 30 cps;
Амино Енерджи Бустер - 500 мл.;
АШВАГАНДА  ЕКСТРАКТ 60/1 cps;
ВИТАМИН Б6 365/1 таб;
ВИТАМИН Д3 365/1 таб;
ДР.СЛИМ РАСТИТЕЛЕН 210 гр;
МАЧА с КОЛАГЕН 175 гр;
МЕЛАТОНИН 365/1 таб;
САМБУКУС сирoп 250 мл;
ЦИНК 365/1 таб;


TABLE 2 — HAS PRICE (38 products)
Name;Price (EUR)
A4 - antioxidant matrix;29.9
Aloe Vera 500ml;12.9
BCAA powder 200 gr.;12.9
Brain active (30cps);39.9
Broncho Complex;39.9
C 1000;9.9
CALM;24.9
CHIA THERAPY - с вкус на диня;2
CHIA THERAPY - с вкус на ябълка;2
CREATINE powder 200 gr.;12.9
Curcumactiv (500ml);29.9
Diet shake chocolate 500g;39.9
Diet shake strawberry  500g;39.9
Diet shake vanilla  500g;39.9
ELIXY Серум со 20%снаил екстракт;14.9
ELIXY Серум со витамин Ц;14.9
ELIXY-hyaluronic acid-collagen&aloe vera;29.9
ELIXY-Дневенкрем снаил 50ml;14.9
ELIXY-Ноќен крем снаил 50ml;14.9
Enduro Max 30 капсули;39.9
Femme 7;20.9
Hemoro Forte;39.9
Hepatol;24.9
Hyaluron 5;24.9
IMMUNO BOOST - с вкус на къпина, лимон и лайм;2
IMMUNO BOOST - с вкус на портокал и ананас;2
L-GLUTAMINE powder 200 gr.;12.9
OSTEOfix;14.9
Reishi;6.9
SAW Palmetto;9.9
Snail Complex;29.9
Tribulus;6.9
Uro Protect;39.9
Диабетол Форте;39.9
Колаген Пептид со ВАНИЛА 200 гр;39.9
НЕВРО АКТИВ - 60капсули;29.9
Простатол Комплекс;39.9
ХОЛЕСТОЛ КОМПЛЕКС 30 cps;39.9
