sep=;
field;altercpa_id;orders;paid_orders;first_order;last_order;NAME_FILL_THIS_IN
user;2737;6992;2894;2025-05-06;2025-08-04;
user;3055;6105;1485;2025-07-18;2026-07-07;
user;2821;5900;2726;2025-05-27;2026-05-30;
user;3453;5479;2314;2025-10-16;2026-08-05;
user;3060;5206;622;2025-06-12;2025-12-25;
user;3835;4607;1110;2026-01-22;2026-08-04;
user;3917;4508;1746;2026-02-19;2026-07-30;
user;3054;4370;1033;2025-07-11;2025-12-30;
user;3780;3286;1068;2026-01-07;2026-08-05;
user;3454;3211;1461;2025-10-16;2026-02-20;
user;3807;3127;800;2026-01-06;2026-04-17;
user;3057;3034;203;2025-08-04;2025-12-30;
app;2737;2895;2893;2025-05-06;2025-08-04;
app;3453;2776;2312;2025-10-19;2026-08-05;
app;2821;2764;2724;2025-05-27;2026-05-22;
user;4134;2290;418;2026-04-16;2026-08-01;
user;3806;2220;571;2026-01-10;2026-04-17;
user;4170;2181;643;2026-04-27;2026-08-05;
user;3086;2088;1169;2025-07-15;2026-01-09;
user;3456;2000;1003;2025-10-16;2026-02-20;
app;3454;1975;1461;2025-10-16;2026-02-20;
user;3056;1765;806;2025-07-17;2025-12-30;
app;3917;1749;1746;2026-02-21;2026-07-30;
user;4135;1731;396;2026-04-16;2026-08-05;
app;3055;1579;1485;2025-08-02;2026-07-07;
user;3519;1527;255;2025-11-11;2025-12-31;
user;2624;1520;81;2025-04-23;2026-03-31;
user;3518;1482;234;2025-11-10;2025-12-31;
app;3086;1472;1176;2025-08-12;2026-01-09;
app;3456;1388;1003;2025-10-16;2026-02-20;
user;3523;1205;206;2025-11-11;2025-12-30;
user;4222;1134;287;2026-06-03;2026-08-05;
app;3780;1114;1068;2026-01-07;2026-08-05;
app;3054;1110;1036;2025-07-12;2025-12-30;
app;3835;1110;1110;2026-01-23;2026-08-04;
user;4249;1087;128;2026-06-15;2026-08-05;
app;3056;909;816;2025-07-23;2025-12-30;
app;3807;800;800;2026-01-10;2026-04-17;
user;3117;737;596;2025-10-04;2026-08-04;
user;4175;712;163;2026-05-06;2026-06-08;
app;4170;643;643;2026-04-28;2026-08-05;
app;3060;641;622;2025-06-13;2025-12-24;
app;3117;596;596;2025-10-04;2026-08-04;
app;3806;571;571;2026-01-11;2026-04-17;
app;4134;418;418;2026-04-17;2026-08-01;
app;4135;396;396;2026-04-17;2026-08-05;
app;3519;310;255;2025-11-12;2025-12-31;
app;4222;287;287;2026-06-05;2026-08-05;
app;3518;286;234;2025-11-10;2025-12-31;
app;3523;266;206;2025-11-11;2025-12-30;
user;3834;243;34;2026-01-22;2026-03-05;
app;3057;217;203;2025-08-04;2025-12-29;
user;2720;215;145;2025-05-06;2025-05-27;
user;4375;178;21;2026-07-28;2026-08-05;
app;4175;163;163;2026-05-06;2026-06-08;
app;2720;147;143;2025-05-06;2025-05-14;
app;4249;128;128;2026-06-16;2026-08-05;
user;4371;118;13;2026-07-26;2026-08-05;
app;2624;86;81;2025-04-29;2025-11-09;
user;3455;50;11;2025-10-15;2025-11-03;
app;3834;34;34;2026-01-26;2026-03-04;
user;3046;21;20;2025-08-19;2025-09-11;
app;4375;21;21;2026-07-29;2026-08-05;
app;4371;13;13;2026-07-28;2026-08-05;
app;3455;11;11;2025-10-18;2025-11-03;
user;4053;8;0;2026-03-29;2026-03-31;
user;4171;7;1;2026-04-28;2026-04-30;
user;4067;4;2;2026-04-16;2026-07-18;
user;2683;3;0;2025-05-03;2025-05-04;
user;2827;2;2;2025-10-06;2025-10-24;
app;2827;2;2;2025-10-06;2025-10-24;
app;4067;2;2;2026-04-16;2026-04-16;
user;3248;1;0;2025-12-15;2025-12-15;
app;4171;1;1;2026-04-30;2026-04-30;
